Where do you access the beach from most of the time?,map:x,map:y
Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),24.793474,67.041096
Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),24.773221,67.054911
Dolmen Mall,24.802722,67.030028
McDonald's/A K Khan Park,24.802214,67.030034
Khyaban-e-Saadi,24.809675,67.017797
Clifton Beach Parking Lot,24.811335,67.00581
nan,null,null
End of 26th street,24.759933,67.097312
 near do darya,null,null
it depends ,null,null
I dont ,null,null
Seaview Road. Seawall. Rocks (near Kolachi) need to include option of choosing more than 1 answer.,null,null
Do darya,24.758199,67.098841
